Experiment_ID,Node,Predicted_Value,Measured_Value,Residual,Absolute_Error
1,AKT1,0.4525474525474526,0.44,0.012547452547452598,0.012547452547452598
1,MAPK1,0.4388944388944389,0.43,0.008894438894438916,0.008894438894438916
1,TP53,0.30003330003330003,0.29,0.010033300033300052,0.010033300033300052
1,CASP3,0.24675324675324672,0.24,0.006753246753246733,0.006753246753246733
1,CDK2,0.4875124875124876,0.49,-0.002487512487512389,0.002487512487512389
2,AKT1,0.7382617382617381,0.75,-0.011738261738261868,0.011738261738261868
2,MAPK1,0.6466866466866467,0.65,-0.003313353313353362,0.003313353313353362
2,TP53,0.19114219114219114,0.17,0.021142191142191125,0.021142191142191125
2,CASP3,0.12287712287712288,0.11,0.012877122877122879,0.012877122877122879
2,CDK2,0.7186147186147186,0.74,-0.021385281385281396,0.021385281385281396
3,AKT1,0.43523143523143526,0.35,0.08523143523143528,0.08523143523143528
3,MAPK1,0.4568764568764569,0.41,0.04687645687645692,0.04687645687645692
3,TP53,0.5484515484515485,0.63,-0.08154845154845147,0.08154845154845147
3,CASP3,0.4102564102564103,0.49,-0.0797435897435897,0.0797435897435897
3,CDK2,0.373959373959374,0.29,0.08395937395937403,0.08395937395937403
4,AKT1,0.7072927072927073,0.73,-0.02270729270729266,0.02270729270729266
4,MAPK1,0.645021645021645,0.65,-0.004978354978354971,0.004978354978354971
4,TP53,0.326007326007326,0.3,0.026007326007326026,0.026007326007326026
4,CASP3,0.17415917415917417,0.14,0.03415917415917416,0.03415917415917416
4,CDK2,0.6033966033966034,0.62,-0.016603396603396603,0.016603396603396603
5,AKT1,0.0666000666000666,0.05,0.01660006660006659,0.01660006660006659
5,MAPK1,0.6493506493506493,0.63,0.01935064935064934,0.01935064935064934
5,TP53,0.43423243423243424,0.48,-0.04576756576756574,0.04576756576756574
5,CASP3,0.4162504162504163,0.47,-0.05374958374958366,0.05374958374958366
5,CDK2,0.3986013986013986,0.36,0.03860139860139861,0.03860139860139861
6,AKT1,0.17748917748917747,0.17,0.007489177489177462,0.007489177489177462
6,MAPK1,0.6653346653346653,0.66,0.005334665334665312,0.005334665334665312
6,TP53,0.3952713952713953,0.43,-0.03472860472860467,0.03472860472860467
6,CASP3,0.36596736596736595,0.39,-0.02403263403263406,0.02403263403263406
6,CDK2,0.4565434565434565,0.43,0.026543456543456523,0.026543456543456523
7,AKT1,0.7252747252747254,0.72,0.005274725274725389,0.005274725274725389
7,MAPK1,0.6406926406926406,0.63,0.010692640692640643,0.010692640692640643
7,TP53,0.1978021978021978,0.17,0.02780219780219778,0.02780219780219778
7,CASP3,0.1252081252081252,0.11,0.015208125208125187,0.015208125208125187
7,CDK2,0.7062937062937064,0.72,-0.013706293706293615,0.013706293706293615
8,AKT1,0.7682317682317682,0.76,0.008231768231768188,0.008231768231768188
8,MAPK1,0.6516816516816517,0.64,0.011681651681651695,0.011681651681651695
8,TP53,0.1798201798201798,0.19,-0.010179820179820193,0.010179820179820193
8,CASP3,0.09956709956709957,0.1,-0.00043290043290043767,0.00043290043290043767
8,CDK2,0.7365967365967366,0.72,0.01659673659673666,0.01659673659673666
9,AKT1,0.060939060939060936,0.06,0.0009390609390609386,0.0009390609390609386
9,MAPK1,0.9010989010989011,0.9,0.001098901098901095,0.001098901098901095
9,TP53,0.8261738261738262,0.82,0.0061738261738262246,0.0061738261738262246
9,CASP3,0.7455877455877454,0.74,0.005587745587745441,0.005587745587745441
9,CDK2,0.1894771894771895,0.2,-0.01052281052281051,0.01052281052281051
10,AKT1,0.3946053946053946,0.34,0.0546053946053946,0.0546053946053946
10,MAPK1,0.43989343989343993,0.42,0.019893439893439946,0.019893439893439946
10,TP53,0.7475857475857475,0.75,-0.002414252414252527,0.002414252414252527
10,CASP3,0.4515484515484515,0.5,-0.048451548451548476,0.048451548451548476
10,CDK2,0.1838161838161838,0.19,-0.006183816183816193,0.006183816183816193
