Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values
1,,,,,"AKT1,MAPK1,TP53,CASP3,CDK2","0.44,0.43,0.29,0.24,0.49"
2,EGF,1.0,,,"AKT1,MAPK1,TP53,CASP3,CDK2","0.75,0.65,0.17,0.11,0.74"
3,DNA_DAMAGE,1.0,,,"AKT1,MAPK1,TP53,CASP3,CDK2","0.35,0.41,0.63,0.49,0.29"
4,"EGF,DNA_DAMAGE","1.0,1.0",,,"AKT1,MAPK1,TP53,CASP3,CDK2","0.73,0.65,0.3,0.14,0.62"
5,EGF,1.0,PIK3CA,1.0,"AKT1,MAPK1,TP53,CASP3,CDK2","0.05,0.63,0.48,0.47,0.36"
6,EGF,1.0,PIK3CA,0.7,"AKT1,MAPK1,TP53,CASP3,CDK2","0.17,0.66,0.43,0.39,0.43"
7,EGF,1.0,PDPK1,1.0,"AKT1,MAPK1,TP53,CASP3,CDK2","0.72,0.63,0.17,0.11,0.72"
8,EGF,1.0,PDPK1,0.5,"AKT1,MAPK1,TP53,CASP3,CDK2","0.76,0.64,0.19,0.1,0.72"
9,EGF,1.0,MAP2K1,1.0,"AKT1,MAPK1,TP53,CASP3,CDK2","0.06,0.9,0.82,0.74,0.2"
10,DNA_DAMAGE,1.0,MDM2,0.8,"AKT1,MAPK1,TP53,CASP3,CDK2","0.34,0.42,0.75,0.5,0.19"
