Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values,n_patients,std,drug
1,,,BCL2,1,AUC,148.01,89,75.42,Venetoclax
2,,,BTK,1,AUC,192.85,90,59.80,Ibrutinib
3,,,SYK,1,AUC,177.06,75,51.66,Entospletinib
4,FLT3,1,BCL2,1,AUC,67.68,14,68.71,Venetoclax
5,FLT3,1,BTK,1,AUC,160.96,14,61.14,Ibrutinib
6,FLT3,1,SYK,1,AUC,143.85,13,73.05,Entospletinib
7,,,"BCL2,NPM1","1,1",AUC,125.95,22,90.58,Venetoclax
8,,,"BTK,NPM1","1,1",AUC,182.98,23,54.14,Ibrutinib
9,,,"NPM1,SYK","1,1",AUC,184.96,19,42.17,Entospletinib
10,,,"BCL2,DNMT3A","1,1",AUC,144.50,15,71.24,Venetoclax
11,,,"BTK,DNMT3A","1,1",AUC,200.52,14,51.23,Ibrutinib
12,,,"DNMT3A,SYK","1,1",AUC,191.20,10,45.63,Entospletinib
13,FLT3,1,"BCL2,NPM1","1,1",AUC,62.10,8,55.44,Venetoclax
14,FLT3,1,"BTK,NPM1","1,1",AUC,140.41,7,57.32,Ibrutinib
15,FLT3,1,"NPM1,SYK","1,1",AUC,120.19,8,59.54,Entospletinib
16,FLT3,1,"BCL2,DNMT3A","1,1",AUC,140.49,3,113.26,Venetoclax
17,FLT3,1,"BTK,DNMT3A","1,1",AUC,192.59,3,28.41,Ibrutinib
18,FLT3,1,"DNMT3A,SYK","1,1",AUC,183.65,3,26.67,Entospletinib
19,,,"BCL2,DNMT3A,NPM1","1,1,1",AUC,196.18,8,81.26,Venetoclax
20,,,"BTK,DNMT3A,NPM1","1,1,1",AUC,193.46,8,21.84,Ibrutinib
21,,,"DNMT3A,NPM1,SYK","1,1,1",AUC,145.95,6,76.59,Entospletinib
22,FLT3,1,"BCL2,DNMT3A,NPM1","1,1,1",AUC,155.50,15,68.74,Venetoclax
23,FLT3,1,"BTK,DNMT3A,NPM1","1,1,1",AUC,159.91,14,59.29,Ibrutinib
24,FLT3,1,"DNMT3A,NPM1,SYK","1,1,1",AUC,143.50,13,50.60,Entospletinib
