Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values
1,,,BCL2,1,AUC,155.79
2,,,BTK,1,AUC,208.86
3,,,SYK,1,AUC,190.90
4,FLT3,1,BCL2,1,AUC,106.12
5,FLT3,1,BTK,1,AUC,169.87
6,FLT3,1,SYK,1,AUC,152.86
7,,,"BCL2,NPM1","1,1",AUC,137.37
8,,,"BTK,NPM1","1,1",AUC,185.31
9,,,"NPM1,SYK","1,1",AUC,181.86
10,,,"BCL2,DNMT3A","1,1",AUC,163.84
11,,,"BTK,DNMT3A","1,1",AUC,205.68
12,,,"DNMT3A,SYK","1,1",AUC,190.34
13,FLT3,1,"BCL2,NPM1","1,1",AUC,95.32
14,FLT3,1,"BTK,NPM1","1,1",AUC,169.77
15,FLT3,1,"NPM1,SYK","1,1",AUC,136.91
16,FLT3,1,"BCL2,DNMT3A","1,1",AUC,151.24
17,FLT3,1,"BTK,DNMT3A","1,1",AUC,207.76
18,FLT3,1,"DNMT3A,SYK","1,1",AUC,187.20
19,,,"BCL2,DNMT3A,NPM1","1,1,1",AUC,185.21
20,,,"BTK,DNMT3A,NPM1","1,1,1",AUC,182.12
21,,,"DNMT3A,NPM1,SYK","1,1,1",AUC,147.46
22,FLT3,1,"BCL2,DNMT3A,NPM1","1,1,1",AUC,151.12
23,FLT3,1,"BTK,DNMT3A,NPM1","1,1,1",AUC,161.31
24,FLT3,1,"DNMT3A,NPM1,SYK","1,1,1",AUC,151.10
