Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values
1,EGF,,,,CASP3,0
2,EGF,,EGFR,,CASP3,0.317699657
3,EGF,,JAK1,,CASP3,0.270094786
4,EGF,,"EGFR,JAK1",,CASP3,0.607302371
5,EGF,,"AktP,PDPK1",,CASP3,0.159653529
6,EGF,,"EGFR,AktP,PDPK1",,CASP3,0.266385859
7,EGF,,"JAK1,AktP,PDPK1",,CASP3,0.269612483
8,EGF,,MAP2K1,,CASP3,0.240832496
9,EGF,,"EGFR,MAP2K1",,CASP3,0.634766766
10,EGF,,"JAK1,MAP2K1",,CASP3,0.584932972
11,EGF,,"AktP,PDPK1,MAP2K1",,CASP3,0.182102409
12,EGF,,AktM,,CASP3,0.370602546
13,EGF,,"EGFR,AktM",,CASP3,0.565095879
14,EGF,,"JAK1,AktM",,CASP3,0.705837126
15,EGF,,"AktP,PDPK1,AktM",,CASP3,0.44655654
16,EGF,,"MAP2K1,AktM",,CASP3,0.520769319
17,EGF,,IKBKB,,CASP3,0.400900604
18,EGF,,"EGFR,IKBKB",,CASP3,0.639879612
19,EGF,,"JAK1,IKBKB",,CASP3,0.489268716
20,EGF,,"AktP,PDPK1,IKBKB",,CASP3,0.168159898
21,EGF,,"MAP2K1,IKBKB",,CASP3,0.492776318
22,EGF,,"AktM,IKBKB",,CASP3,0.611052995
23,EGF,,PIK3CA,,CASP3,0.369222631
24,EGF,,"EGFR,PIK3CA",,CASP3,0.710918524
25,EGF,,"JAK1,PIK3CA",,CASP3,0.576228047
26,EGF,,"AktP,PDPK1,PIK3CA",,CASP3,0.256327469
27,EGF,,"MAP2K1,PIK3CA",,CASP3,0.516109568
28,EGF,,"AktM,PIK3CA",,CASP3,0.561880348
29,EGF,,"IKBKB,PIK3CA",,CASP3,0.485318014
30,"EGF,TNF",,,,CASP3,0.247656767
31,"EGF,TNF",,EGFR,,CASP3,0.481211852
32,"EGF,TNF",,JAK1,,CASP3,0.534992802
33,"EGF,TNF",,"AktP,PDPK1",,CASP3,0.317507678
34,"EGF,TNF",,MAP2K1,,CASP3,0.431260444
35,"EGF,TNF",,AktM,,CASP3,0.579572055
36,"EGF,TNF",,IKBKB,,CASP3,0.532915894
37,"EGF,TNF",,PIK3CA,,CASP3,0.580771285
