Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values,n_patients,std,drug
1,,,BTK,1,DSS,0.71,90,1.61,Ibrutinib
2,,,SYK,1,DSS,0.43,52,1.19,Entospletinib
3,,,BCL2,1,DSS,8.04,78,9.61,Venetoclax
4,FLT3,1,BTK,1,DSS,0.72,5,1.61,Ibrutinib
5,FLT3,1,SYK,1,DSS,0.00,3,0.00,Entospletinib
6,,,"BTK,NPM1","1,1",DSS,0.43,9,0.72,Ibrutinib
7,,,"NPM1,SYK","1,1",DSS,1.07,6,2.24,Entospletinib
8,,,"BCL2,NPM1","1,1",DSS,8.73,7,9.11,Venetoclax
9,,,"BTK,DNMT3A","1,1",DSS,0.55,12,1.30,Ibrutinib
10,,,"DNMT3A,SYK","1,1",DSS,0.27,7,0.68,Entospletinib
11,,,"BCL2,DNMT3A","1,1",DSS,8.00,7,10.44,Venetoclax
12,FLT3,1,"BTK,NPM1","1,1",DSS,0.50,3,0.50,Ibrutinib
13,FLT3,1,"NPM1,SYK","1,1",DSS,0.00,3,0.00,Entospletinib
14,FLT3,1,"BCL2,NPM1","1,1",DSS,12.80,3,14.73,Venetoclax
15,FLT3,1,"BTK,DNMT3A","1,1",DSS,0.70,4,0.72,Ibrutinib
16,FLT3,1,"BCL2,DNMT3A","1,1",DSS,16.92,4,12.60,Venetoclax
17,,,"BTK,DNMT3A,NPM1","1,1,1",DSS,0.60,6,0.83,Ibrutinib
18,,,"DNMT3A,NPM1,SYK","1,1,1",DSS,1.52,4,1.73,Entospletinib
19,,,"BCL2,DNMT3A,NPM1","1,1,1",DSS,13.23,5,11.77,Venetoclax
20,FLT3,1,"BTK,DNMT3A,NPM1","1,1,1",DSS,0.77,3,1.33,Ibrutinib
21,FLT3,1,"BCL2,DNMT3A,NPM1","1,1,1",DSS,5.76,3,9.73,Venetoclax
