subject_id	object_id	subject_id_prefix	object_id_prefix	subject_name	object_name	predicate	Primary_Knowledge_Source	Knowledge_Source	publications	subject_category	object_category
Q96J02	P21580	UNIPROT	UNIPROT	ITCH	TNFAIP3	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	18246070	protein	protein
P40763	P24385	UNIPROT	UNIPROT	STAT3	CCND1	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	16510571	protein	protein
P49841	Q9UPN3	UNIPROT	UNIPROT	GSK3B	MACF1	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	21295697	protein	protein
P49841	Q9UPN3	UNIPROT	UNIPROT	GSK3B	MACF1	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	21295697	protein	protein
CHEBI:61080	O15379	ChEBI	UNIPROT	romidepsin	HDAC3	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	20139990	chemical	protein
P19784	P21673	UNIPROT	UNIPROT	CSNK2A2	SAT1	unknown	SIGNOR	Multiomics-BigGIM-DrugResponse	8954982	protein	protein
Q13976	Q13507	UNIPROT	UNIPROT	PRKG1	TRPC3	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	16331690	protein	protein
Q13976	Q13507	UNIPROT	UNIPROT	PRKG1	TRPC3	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	16331690	protein	protein
Q8TD08	P05412	UNIPROT	UNIPROT	MAPK15	JUN	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	12169099	protein	protein
P51617	P51617	UNIPROT	UNIPROT	IRAK1	IRAK1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	11960013	protein	protein
P08631	Q92556	UNIPROT	UNIPROT	HCK	ELMO1	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	15952790	protein	protein
Q13363	P12830	UNIPROT	UNIPROT	CTBP1	CDH1	down-regulates quantity by repression	SIGNOR	Multiomics-BigGIM-DrugResponse	21681822	protein	protein
CHEBI:601027	P00797	ChEBI	UNIPROT	aliskiren	REN	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	18307734	chemical	protein
P23443	P27708	UNIPROT	UNIPROT	RPS6KB1	CAD	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	23429703	protein	protein
CHEBI:137064	P36897	ChEBI	UNIPROT	LY-2157299	TGFBR1	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	18039567	chemical	protein
P08047	P00441	UNIPROT	UNIPROT	SP1	SOD1	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	8921911	protein	protein
O00141	Q92597	UNIPROT	UNIPROT	SGK1	NDRG1	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	20416281	protein	protein
P02649	Q92673	UNIPROT	UNIPROT	APOE	SORL1	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	11557679	protein	protein
Q8IVH8	Q8IVH8	UNIPROT	UNIPROT	MAP4K3	MAP4K3	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	20227368	protein	protein
Q13464	P07737	UNIPROT	UNIPROT	ROCK1	PFN1	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	22479341	protein	protein
P09619	P29353	UNIPROT	UNIPROT	PDGFRB	SHC1	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	8195171	protein	protein
CID:6918328	Q92769	PUBCHEM	UNIPROT	JWOGUUIOCYMBPV-GMFLJSBRSA-N	HDAC2	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	20139990	chemical	protein
Q9H3N8	P08754	UNIPROT	UNIPROT	HRH4	GNAI3	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	31160049	protein	protein
P53779	Q9UPT6	UNIPROT	UNIPROT	MAPK10	MAPK8IP3	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	15767678	protein	protein
Q16821	P13807	UNIPROT	UNIPROT	PPP1R3A	GYS1	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	8250835	protein	protein
Q16678	CHEBI:62845	UNIPROT	ChEBI	CYP1B1	4-hydroxy-17beta-estradiol	up-regulates quantity	SIGNOR	Multiomics-BigGIM-DrugResponse	8790407	protein	smallmolecule
CID:6918328	Q92769	PUBCHEM	UNIPROT	JWOGUUIOCYMBPV-GMFLJSBRSA-N	HDAC2	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	17868033	chemical	protein
P28562	P45983	UNIPROT	UNIPROT	DUSP1	MAPK8	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	9020184	protein	protein
P51617	P51617	UNIPROT	UNIPROT	IRAK1	IRAK1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	14625308	protein	protein
P51617	P51617	UNIPROT	UNIPROT	IRAK1	IRAK1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	14625308	protein	protein
P68400	P21673	UNIPROT	UNIPROT	CSNK2A1	SAT1	unknown	SIGNOR	Multiomics-BigGIM-DrugResponse	8954982	protein	protein
Q9NZC4	Q9UHG0	UNIPROT	UNIPROT	EHF	DCDC2	down-regulates quantity by repression	SIGNOR	Multiomics-BigGIM-DrugResponse	22733135	protein	protein
P62136	P27708	UNIPROT	UNIPROT	PPP1CA	CAD	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	4092695	protein	protein
P53779	Q9UPT6	UNIPROT	UNIPROT	MAPK10	MAPK8IP3	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	15767678	protein	protein
O00291	P10275	UNIPROT	UNIPROT	HIP1	AR	down-regulates quantity by repression	SIGNOR	Multiomics-BigGIM-DrugResponse	16027218	protein	protein
O95239	O43663	UNIPROT	UNIPROT	KIF4A	PRC1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	15297875	protein	protein
CID:178024	Q92847	PUBCHEM	UNIPROT	Ibutamoren	GHSR	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	31160049	chemical	protein
P22694	Q92934	UNIPROT	UNIPROT	PRKACB	BAD	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	10949026	protein	protein
P63092	P27986	UNIPROT	UNIPROT	GNAS	PIK3R1	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	22179044	protein	protein
Q8NEZ5	O14867	UNIPROT	UNIPROT	FBXO22	BACH1	down-regulates quantity	SIGNOR	Multiomics-BigGIM-DrugResponse	31257023	protein	protein
Q9P1W9	Q92934	UNIPROT	UNIPROT	PIM2	BAD	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	16403219	protein	protein
CHEBI:80266	P41146	ChEBI	UNIPROT	nociceptin	OPRL1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	31160049	smallmolecule	protein
P17612	P41161	UNIPROT	UNIPROT	PRKACA	ETV5	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	11682477	protein	protein
P34897	CHEBI:15636	UNIPROT	ChEBI	SHMT2	(6R)-5,10-methylenetetrahydrofolate(2-)	up-regulates quantity	SIGNOR	Multiomics-BigGIM-DrugResponse	32439610	protein	smallmolecule
Q08828	CHEBI:17489	UNIPROT	ChEBI	ADCY1	3',5'-cyclic AMP	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	22863277	protein	smallmolecule
Q96FA3	P51617	UNIPROT	UNIPROT	PELI1	IRAK1	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	17997719	protein	protein
Q99836	P51617	UNIPROT	UNIPROT	MYD88	IRAK1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	10217414	protein	protein
P35916	P29353	UNIPROT	UNIPROT	FLT4	SHC1	unknown	SIGNOR	Multiomics-BigGIM-DrugResponse	9927207	protein	protein
Q9H0E2	P51617	UNIPROT	UNIPROT	TOLLIP	IRAK1	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	10854325	protein	protein
Q00535	Q9NZ72	UNIPROT	UNIPROT	CDK5	STMN3	unknown	SIGNOR	Multiomics-BigGIM-DrugResponse	22577147	protein	protein
P48730	Q00987	UNIPROT	UNIPROT	CSNK1D	MDM2	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	20708156	protein	protein
CHEBI:18243	P21728	ChEBI	UNIPROT	dopamine	DRD1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	31160049	smallmolecule	protein
P01031	P21730	UNIPROT	UNIPROT	C5	C5AR1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	1847994	protein	protein
P58340	Q8NHY2	UNIPROT	UNIPROT	MLF1	COP1	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	15861129	protein	protein
P36871	CHEBI:58601	UNIPROT	ChEBI	PGM1	alpha-D-glucose 1-phosphate(2-)	up-regulates quantity	SIGNOR	Multiomics-BigGIM-DrugResponse	32898648	protein	smallmolecule
Q9Y243	Q92934	UNIPROT	UNIPROT	AKT3	BAD	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	10949026	protein	protein
Q9NWZ3	P51617	UNIPROT	UNIPROT	IRAK4	IRAK1	up-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	11960013	protein	protein
P00797	P01019-PRO_0000032457	UNIPROT	UNIPROT	REN	Angiotensin-1	up-regulates quantity	SIGNOR	Multiomics-BigGIM-DrugResponse	32201502	protein	protein
Q14980	Q9BUF5	UNIPROT	UNIPROT	NUMA1	TUBB6	up-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	11956313	protein	protein
P31994	O00206	UNIPROT	UNIPROT	FCGR2B	TLR4	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	24445665	protein	protein
Q8TE49	Q13546	UNIPROT	UNIPROT	OTUD7A	RIPK1	down-regulates activity	SIGNOR	Multiomics-BigGIM-DrugResponse	18178551	protein	protein
Q8NEZ4	Q9NZQ7	UNIPROT	UNIPROT	KMT2C	CD274	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	30385408	protein	protein
Q96G03	CHEBI:58225	UNIPROT	ChEBI	PGM2	alpha-D-glucose 6-phosphate(2-)	down-regulates quantity	SIGNOR	Multiomics-BigGIM-DrugResponse	32898648	protein	smallmolecule
Q05655	P21730	UNIPROT	UNIPROT	PRKCD	C5AR1	down-regulates	SIGNOR	Multiomics-BigGIM-DrugResponse	12464600	protein	protein
P40763	Q969P5	UNIPROT	UNIPROT	STAT3	FBXO32	up-regulates quantity by expression	SIGNOR	Multiomics-BigGIM-DrugResponse	22669242	protein	protein
